Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
COCE6,"35,00","5,58","0,78","0,336","0,00%","0,242","-17,99","2,43","-0,61","5,48","4,21","13,86%","6,02%","0,96","11,77%","14,01%","0,00","3.486.800.000,00","1,07","13,61%"
ENBR3,"20,80","5,60","1,08","0,640","7,45%","0,362","4,19","3,55","-1,08","5,87","4,79","18,02%","12,54%","1,41","11,84%","19,37%","74.362.400,00","11.151.400.000,00","0,95","9,68%"
TRIS3,"4,78","5,61","0,72","1,042","5,04%","0,384","0,71","4,80","1,21","5,90","5,87","21,69%","20,46%","3,50","9,94%","12,82%","8.292.900,00","1.241.240.000,00","0,48","22,85%"
BPIA3,"6,10","5,64","1,06","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","18,84%","0,00","77.395.000,00","0,00","13,41%"
DSUL3,"7,95","5,65","0,97","0,879","0,00%","0,721","1,93","2,37","2,70","1,27","1,27","37,13%","16,02%","3,50","48,91%","17,25%","0,00","236.447.000,00","0,01","36,69%"
VBBR3,"22,68","5,72","2,34","0,229","8,93%","0,894","2,90","8,40","-8,61","11,18","9,50","2,73%","4,01%","2,49","12,83%","40,93%","191.860.000,00","11.287.000.000,00","0,96","3,95%"
RNPT4,"31,81","5,74","0,39","0,467","0,00%","0,379","57,01","56,10","57,01","56,05","56,05","0,83%","8,13%","1,38","0,68%","6,72%","0,00","63.944.000,00","0,00","4,85%"
RNPT3,"31,87","5,75","0,39","0,468","0,00%","0,380","57,12","56,21","57,12","56,15","56,15","0,83%","8,13%","1,38","0,68%","6,72%","0,00","63.944.000,00","0,00","4,85%"
UNIP3,"97,30","5,79","3,63","1,694","14,43%","1,512","6,05","5,00","-12,88","4,75","4,27","33,88%","29,60%","2,19","42,37%","62,57%","2.565.640,00","2.534.710.000,00","0,38","17,73%"
UNIP5,"98,20","5,85","3,66","1,710","15,73%","1,526","6,11","5,05","-13,00","4,79","4,31","33,88%","29,60%","2,19","42,37%","62,57%","28.377,00","2.534.710.000,00","0,38","17,73%"
UNIP6,"98,60","5,87","3,67","1,717","15,66%","1,533","6,14","5,07","-13,05","4,82","4,33","33,88%","29,60%","2,19","42,37%","62,57%","37.422.900,00","2.534.710.000,00","0,38","17,73%"
DXCO3,"13,49","5,95","1,79","1,256","8,63%","0,765","7,96","6,58","-3,39","8,15","5,60","19,09%","21,12%","1,38","15,07%","30,09%","52.892.000,00","5.733.580.000,00","0,67","17,41%"
MYPK3,"12,15","5,96","0,46","0,146","8,28%","0,129","1,10","2,11","-0,61","7,32","4,40","6,95%","3,33%","1,32","7,74%","7,70%","19.133.400,00","4.074.170.000,00","1,38","10,96%"
FRAS4,"5,79","5,96","1,15","0,488","0,00%","0,409","1,60","3,89","-3,46","5,78","4,28","12,54%","8,16%","1,95","13,65%","19,28%","0,00","1.095.570.000,00","0,89","30,27%"
CEDO3,"7,13","5,97","0,51","0,078","0,00%","0,091","-1,49","1,20","-0,29","4,42","3,37","6,51%","0,97%","0,89","9,51%","8,60%","8.590,00","138.726.000,00","1,52","7,29%"
CSRN6,"19,00","5,99","2,11","0,883","11,84%","0,615","-28,51","4,39","-1,45","7,11","6,01","20,11%","14,74%","0,93","15,45%","35,23%","604,71","1.513.000.000,00","1,42","12,57%"
CYRE3,"14,41","6,01","0,93","1,271","7,55%","0,438","1,12","7,43","7,92","8,97","8,47","17,11%","22,92%","3,41","7,23%","15,46%","106.743.000,00","6.198.680.000,00","0,55","14,98%"
