Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
EQTL3,"25,35","7,79","2,40","1,290","2,54%","0,515","3,81","5,57","-1,30","7,95","6,94","23,17%","19,33%","1,61","11,95%","30,77%","189.517.000,00","11.941.100.000,00","1,83","27,74%"
CURY3,"7,05","7,80","3,38","1,292","8,02%","0,945","2,36","5,77","9,92","5,31","5,22","22,39%","17,46%","2,15","23,27%","43,37%","7.895.970,00","608.658.000,00","0,64","0,00%"
ITUB3,"21,02","7,85","1,43","0,000","3,48%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","18,15%","22.239.300,00","144.564.000.000,00","0,00","-33,65%"
EQMA3B,"40,50","7,87","2,13","1,319","11,40%","0,871","7,31","5,64","-4,22","6,63","5,63","23,38%","16,76%","1,45","19,75%","27,07%","25.513,20","3.119.880.000,00","0,71","9,36%"
MOAR3,"399,99","7,92","3,71","-8.877,310","12,55%","2,384","11,82","-139,30","-38,73","-135,26","-138,51","6.373,01%","-112.119,00%","3,15","-2,34%","46,81%","818.904,00","1.322.230.000,00","0,31","176,34%"
JSLG3,"7,52","7,95","1,63","0,501","3,15%","0,302","1,49","5,94","-0,69","14,18","8,62","8,45%","6,34%","2,19","6,26%","20,46%","3.741.770,00","1.323.390.000,00","2,98","-18,92%"
ATOM3,"2,92","7,97","3,42","2,011","10,27%","2,245","2,34","9,46","3,53","7,06","6,99","21,26%","25,25%","46,94","55,90%","42,88%","161.702,00","17.865.000,00","0,00","106,55%"
MRVE3,"11,56","7,97","0,93","0,808","3,74%","0,284","1,07","7,38","-1,53","12,33","10,51","10,94%","11,35%","2,17","4,25%","11,69%","63.668.400,00","5.993.850.000,00","0,83","11,28%"
CAML3,"9,06","7,98","1,17","0,391","2,73%","0,413","1,13","6,16","-33,79","9,56","8,88","6,34%","4,90%","2,35","10,39%","14,63%","16.771.800,00","2.872.440.000,00","1,31","24,88%"
PCAR3,"23,97","8,05","0,47","0,126","9,05%","0,131","4,88","1,80","-0,43","2,01","1,27","7,01%","1,87%","1,08","11,57%","5,88%","52.220.500,00","13.649.000.000,00","0,66","3,20%"
SANB4,"16,11","8,06","0,00","0,000","11,03%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","2.283.800,00","0,00","0,00","6,83%"
CPRE3,"18,23","8,07","1,77","3,266","0,00%","0,860","-219,35","5,60","-2,44","6,03","4,72","58,34%","41,14%","0,97","17,27%","21,93%","0,00","6.118.670.000,00","0,34","11,88%"
WSON33,"67,00","8,07","0,98","1,067","10,03%","0,400","13,41","2,42","-0,89","5,08","5,08","44,14%","13,58%","1,26","18,36%","12,17%","0,00","2.148.530.000,00","1,21","5,23%"
CMET4,"3,91","8,10","5,38","3,068","0,00%","3,136","9,47","5,72","27,20","5,34","5,34","53,63%","43,03%","2,64","81,40%","66,40%","0,00","2.847.970.000,00","0,18","30,18%"
SEER3,"10,74","8,11","0,95","1,027","1,96%","0,435","5,46","7,24","-1,51","7,66","3,95","14,19%","12,67%","1,46","6,98%","11,68%","6.179.800,00","1.459.580.000,00","0,33","2,44%"
RDTR3,"6,30","8,11","1,37","0,000","0,00%","1,320","0,00","-1.919,75","0,00","-1.897,05","-219,41","0,00%","0,00%","0,00","0,00%","16,95%","0,00","497.092.000,00","0,00","0,00%"
WHRL3,"5,92","8,17","3,54","0,785","9,92%","0,981","9,12","8,64","17,02","7,51","6,40","9,09%","9,63%","1,16","35,93%","43,37%","25.040,30","2.511.990.000,00","0,44","6,66%"
TEND3,"11,70","8,19","0,82","0,451","1,52%","0,267","0,72","3,68","-3,98","4,58","4,14","12,24%","5,38%","2,56","9,62%","10,06%","16.705.900,00","1.480.680.000,00","0,90","19,58%"
AGIN3,"5,29","8,46","1,23","1,816","0,00%","0,565","1,29","10,92","3,55","14,68","14,68","16,63%","21,83%","2,72","5,59%","14,56%","0,00","1.028.210.000,00","0,55","44,17%"
ELET3,"34,69","8,47","0,71","1,831","2,77%","0,282","2,92","-15,46","-0,76","-22,50","-48,06","-11,84%","21,84%","1,70","-2,13%","8,44%","155.595.000,00","76.128.500.000,00","0,64","-7,43%"
AELP3,"1,93","8,49","-200,57","-0,062","0,00%","5,216","0,00","-12,58","0,00","-11,94","-11,98","0,49%","-0,73%","0,00","0,00%","-2.363,83%","0,00","-904.000,00","0,00","1,18%"
ELET6,"34,80","8,50","0,72","1,837","3,04%","0,283","2,93","-15,51","-0,76","-22,55","-48,17","-11,84%","21,84%","1,70","-2,13%","8,44%","73.964.300,00","76.128.500.000,00","0,64","-7,43%"
ELPL3,"49,32","8,53","4,09","0,471","0,00%","0,298","107,50","4,27","-0,46","6,79","5,18","11,04%","5,53%","1,01","8,00%","47,99%","0,00","2.378.300.000,00","2,89","10,16%"
CPSL3,"38,02","8,56","3,49","0,787","0,00%","2,043","7,39","5,79","11,84","5,48","5,48","13,59%","9,20%","1,89","57,15%","40,82%","0,00","1.634.730.000,00","0,17","16,21%"
WHRL4,"6,23","8,59","3,73","0,826","10,37%","1,033","9,60","9,09","17,92","7,97","6,78","9,09%","9,63%","1,16","35,93%","43,37%","138.119,00","2.511.990.000,00","0,44","6,66%"
KLBN4,"4,62","8,59","4,52","1,575","3,07%","0,617","3,12","4,80","-1,23","8,67","5,78","32,81%","20,66%","2,49","17,36%","52,61%","3.220.770,00","5.739.570.000,00","5,11","16,54%"
BPAC5,"4,71","8,61","1,45","0,000","2,72%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","16,84%","177.504,00","37.379.700.000,00","0,00","36,32%"
PSSA3,"20,78","8,70","1,43","0,633","6,28%","0,323","5,71","0,79","-2,71","0,27","0,27","80,12%","7,28%","1,09","51,93%","16,49%","46.855.600,00","9.364.560.000,00","0,00","5,13%"
LPSB3,"3,28","8,71","2,21","2,181","0,00%","1,102","4,89","9,08","-11,03","6,65","4,98","24,02%","33,43%","2,25","17,77%","25,32%","4.918.900,00","219.415.000,00","0,00","18,22%"
TMGC12,"550,00","8,71","1,12","0,800","0,00%","0,770","4,66","12,27","8,22","10,94","10,94","6,52%","9,18%","1,69","8,73%","12,83%","0,00","1.167.010.000,00","0,05","10,49%"
ACES4,"94,73","8,74","2,27","1,683","0,00%","1,430","6,37","7,16","20,65","6,50","6,50","23,52%","19,27%","2,05","26,90%","25,95%","0,00","3.105.800.000,00","0,09","13,34%"
EEEL4,"399,00","8,76","2,02","3,255","8,35%","0,868","3,30","9,72","-3,90","9,95","9,43","33,48%","36,13%","4,24","10,39%","23,06%","973,17","1.906.490.000,00","0,36","2,31%"
ACES3,"95,27","8,79","2,28","1,693","0,00%","1,438","6,40","7,20","20,77","6,54","6,54","23,52%","19,27%","2,05","26,90%","25,95%","0,00","3.105.800.000,00","0,09","13,34%"
EEEL3,"400,00","8,79","2,03","3,263","7,57%","0,870","3,30","9,74","-3,91","9,98","9,45","33,48%","36,13%","4,24","10,39%","23,06%","0,00","1.906.490.000,00","0,36","2,31%"
BBDC4,"19,92","8,82","1,32","0,000","4,95%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","14,92%","1.061.530.000,00","147.121.000.000,00","0,00","14,10%"
CZRS4,"2,49","8,89","0,30","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","3,34%","0,00","1.145.670.000,00","0,00","14,44%"
BRIV3,"7,40","8,89","0,41","0,000","0,19%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","4,66%","12.149,30","1.580.930.000,00","0,00","35,28%"
AFLU5,"5,03","8,93","2,14","2,911","0,00%","1,875","9,63","8,32","11,92","7,38","7,05","34,98%","32,59%","3,27","31,18%","23,93%","0,00","44.270.000,00","0,00","8,61%"
VIVO3,"65,79","8,99","2,69","1,366","0,00%","1,175","-29,21","6,21","-4,74","6,65","6,65","22,01%","15,20%","0,89","23,92%","29,88%","0,00","9.816.290.000,00","0,35","13,06%"
BRIV4,"7,50","9,01","0,42","0,000","8,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","4,66%","16.865,80","1.580.930.000,00","0,00","35,28%"
CNFB4,"5,99","9,01","1,57","1,511","0,00%","0,872","3,47","8,27","53,95","10,05","7,85","18,27%","16,77%","2,20","12,01%","17,39%","0,00","1.552.470.000,00","0,47","-10,61%"
SUZB3,"57,33","9,05","5,18","1,905","1,29%","0,656","3,46","4,74","-1,12","8,29","5,81","40,23%","21,08%","2,95","17,42%","57,22%","384.487.000,00","15.075.500.000,00","5,28","42,43%"
KLBN11,"24,32","9,05","4,76","1,658","2,92%","0,649","3,28","5,05","-1,30","8,92","5,95","32,81%","20,66%","2,49","17,36%","52,61%","138.881.000,00","5.739.570.000,00","5,11","16,54%"
GFSA3,"1,66","9,15","0,32","0,476","0,00%","0,135","0,33","4,52","1,08","10,45","9,32","10,54%","5,25%","2,44","3,46%","3,47%","12.354.900,00","1.765.520.000,00","0,67","5,85%"
AFLU3,"5,15","9,15","2,19","2,981","0,00%","1,919","9,86","8,52","12,21","7,57","7,24","34,98%","32,59%","3,27","31,18%","23,93%","0,00","44.270.000,00","0,00","8,61%"
COCE5,"57,72","9,20","1,29","0,554","6,27%","0,400","-29,66","4,00","-1,01","7,06","5,41","13,86%","6,02%","0,96","11,77%","14,01%","713.557,00","3.486.800.000,00","1,07","13,61%"
ITUB4,"24,67","9,22","1,67","0,000","2,96%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","18,15%","1.006.500.000,00","144.564.000.000,00","0,00","-33,65%"
JALL3,"10,94","9,32","2,43","2,319","2,69%","0,855","2,94","4,55","-4,96","5,81","3,71","50,96%","24,89%","2,58","25,38%","26,06%","7.624.540,00","1.328.170.000,00","1,32","0,00%"
COCE3,"58,92","9,39","1,32","0,566","6,14%","0,408","-30,28","4,08","-1,03","7,14","5,48","13,86%","6,02%","0,96","11,77%","14,01%","0,00","3.486.800.000,00","1,07","13,61%"
TGMA3,"15,29","9,39","1,51","0,994","5,14%","0,995","3,66","8,20","7,81","8,06","6,83","12,11%","10,55%","2,39","16,29%","16,07%","4.772.260,00","668.634.000,00","0,30","-1,19%"
PRNR3,"5,98","9,40","1,01","0,610","0,91%","0,649","2,38","8,71","3,14","7,86","4,36","7,00%","6,73%","1,94","9,76%","10,72%","1.011.920,00","230.946.000,00","0,21","3,56%"
EKTR3,"40,00","9,43","2,40","0,911","7,29%","0,726","6,76","5,20","-2,02","8,13","6,78","17,53%","9,66%","1,47","15,96%","25,42%","345,05","3.234.000.000,00","1,55","8,88%"
MRSL4,"3,05","9,48","0,91","0,816","0,00%","0,609","2,19","15,08","5,80","16,51","8,83","5,41%","8,69%","2,78","4,44%","9,63%","0,00","375.151.000,00","0,16","7,10%"
CAMB4,"6,25","9,61","2,11","1,100","0,00%","0,829","27,37","5,82","-4,29","7,84","6,78","18,92%","11,49%","1,08","15,62%","21,91%","0,00","125.424.000,00","0,78","-5,95%"
UCAS3,"3,76","9,62","1,50","1,218","5,68%","0,917","4,60","8,87","7,37","6,83","5,14","13,73%","12,65%","1,63","14,76%","15,62%","177.831,00","165.283.000,00","0,10","4,17%"
PTNT3,"14,40","9,72","2,03","0,879","1,41%","0,895","3,72","11,68","16,20","13,80","9,30","7,53%","10,20%","1,87","9,57%","20,87%","221.454,00","341.078.000,00","0,56","11,57%"
CTWR3,"100,00","9,76","56,77","0,317","0,00%","1,141","3,79","-10,64","-142,17","-8,91","-8,91","-2,98%","3,25%","1,45","-21,86%","581,91%","0,00","879.000,00","5,52","4,94%"
MEGA3,"10,56","9,80","1,36","24,599","0,00%","0,490","-842,60","57,74","-0,99","106,66","79,21","42,60%","251,04%","1,00","1,04%","13,89%","30.218.700,00","4.306.250.000,00","1,43","0,00%"
VIVO4,"71,80","9,81","2,93","1,491","0,00%","1,282","-31,87","6,78","-5,17","7,22","7,22","22,01%","15,20%","0,89","23,92%","29,88%","0,00","9.816.290.000,00","0,35","13,06%"
QUAL3,"13,18","9,83","2,24","1,791","15,72%","0,786","-4,66","4,78","-2,86","6,09","4,24","37,44%","18,65%","0,69","24,49%","22,78%","49.381.900,00","1.671.410.000,00","1,30","0,43%"
REDE3,"6,96","9,86","3,96","1,004","14,04%","0,610","8,07","4,78","-1,24","7,26","6,00","21,00%","13,89%","1,35","14,70%","40,20%","25.304,40","3.706.950.000,00","2,48","11,65%"
TCSL4,"7,82","9,95","0,83","1,105","0,00%","0,475","8,93","5,69","-2,20","5,61","2,18","19,44%","11,11%","1,34","9,67%","8,33%","0,00","22.847.800.000,00","0,14","2,29%"
CARD3,"13,93","10,07","1,82","1,157","3,49%","1,044","27,40","7,03","-9,07","7,22","4,19","16,46%","11,50%","1,14","19,32%","18,07%","3.784.190,00","320.074.000,00","0,35","1,47%"
SIMH3,"9,93","10,11","2,36","0,599","1,59%","0,173","0,51","2,69","-0,45","7,79","5,80","22,25%","9,58%","3,30","11,97%","23,39%","21.351.600,00","3.516.080.000,00","9,78","20,18%"
SLCE3,"50,86","10,14","3,01","1,927","1,87%","0,842","8,97","6,65","-2,89","8,03","7,42","28,98%","20,19%","1,30","14,81%","29,65%","78.258.200,00","3.595.110.000,00","0,83","24,97%"
KLBN3,"5,51","10,25","5,39","1,878","2,57%","0,736","3,72","5,72","-1,47","9,59","6,40","32,81%","20,66%","2,49","17,36%","52,61%","665.128,00","5.739.570.000,00","5,11","16,54%"
MRSL3,"3,30","10,25","0,99","0,883","0,00%","0,658","2,37","16,32","6,28","17,74","9,50","5,41%","8,69%","2,78","4,44%","9,63%","0,00","375.151.000,00","0,16","7,10%"
TRFO3,"4,53","10,32","2,58","0,804","0,00%","1,039","4,65","5,52","7,37","5,12","5,12","14,58%","7,80%","1,43","27,63%","25,01%","0,00","76.165.000,00","0,26","16,47%"
ENGI3,"13,88","10,34","2,88","0,983","5,69%","0,487","8,25","5,59","-0,90","9,28","7,27","17,58%","10,46%","1,28","10,12%","27,84%","112.554,00","8.748.260.000,00","2,40","16,79%"
BESP3,"330,00","10,38","2,47","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","23,77%","0,00","5.183.100.000,00","0,00","1,83%"
SMTO3,"43,00","10,41","3,14","2,824","5,42%","1,057","6,00","8,30","-3,09","11,08","6,13","34,02%","27,14%","2,21","14,82%","30,21%","55.575.500,00","4.842.160.000,00","1,36","14,03%"
TCOC4,"27,20","10,43","1,26","1,558","0,00%","0,915","2,65","10,14","3,07","7,89","7,89","15,37%","14,93%","2,53","13,98%","12,06%","0,00","2.812.920.000,00","0,04","16,71%"
DOHL3,"19,00","10,58","2,05","2,094","0,98%","1,556","3,72","14,92","5,25","14,88","12,95","14,04%","19,80%","4,53","11,35%","19,35%","463,44","702.237.000,00","0,07","8,84%"
TIMS3,"12,93","10,58","1,25","1,733","3,35%","0,628","6,54","9,57","-3,36","7,75","2,83","18,11%","16,38%","1,45","8,90%","11,78%","94.005.700,00","25.107.100.000,00","0,15","65,40%"
LEVE4,"44,49","10,63","3,32","1,655","0,00%","1,956","6,95","8,45","13,78","8,37","7,28","19,58%","15,59%","2,03","29,23%","31,22%","0,00","1.719.860.000,00","0,14","7,79%"
ASAI3,"12,71","10,63","6,19","0,409","0,87%","0,749","133,74","5,31","-1,51","7,01","5,78","7,69%","3,84%","1,01","22,44%","58,21%","124.546.000,00","2.766.000.000,00","2,90","17,72%"
PARD3,"17,37","10,65","2,61","1,146","1,65%","0,985","67,15","6,01","-3,36","6,18","4,70","19,05%","10,78%","1,05","20,69%","24,50%","7.490.790,00","871.671.000,00","0,37","14,64%"
BTTL3,"20,19","10,68","7,92","0,546","0,00%","1,535","19,75","9,55","-5,67","9,95","7,79","5,71%","5,11%","1,17","22,56%","74,12%","395.854,00","37.891.000,00","1,12","39,72%"
GUAR3,"11,07","10,70","1,07","0,796","3,97%","0,408","2,01","20,10","-15,65","26,18","8,83","3,96%","7,44%","1,52","2,54%","10,01%","18.230.000,00","5.161.370.000,00","0,68","1,22%"
TRFO4,"4,70","10,70","2,68","0,835","0,00%","1,078","4,82","5,73","7,65","5,33","5,33","14,58%","7,80%","1,43","27,63%","25,01%","0,00","76.165.000,00","0,26","16,47%"
SMLS3,"22,40","10,78","4,09","4,212","17,98%","1,017","18,78","10,37","-6,72","10,13","9,06","40,62%","39,07%","1,10","10,69%","37,96%","0,00","679.678.000,00","0,00","-22,20%"
BESP4,"344,00","10,82","2,57","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","23,77%","0,00","5.183.100.000,00","0,00","1,83%"
DIRR3,"11,50","11,09","1,42","1,006","6,14%","0,312","0,87","5,55","-1,05","6,52","5,62","18,14%","11,67%","4,68","6,95%","12,81%","18.437.500,00","1.214.780.000,00","1,02","20,45%"
GRNL4,"470,00","11,09","1,07","7,231","0,00%","0,975","8,04","-64,72","15,01","-63,22","-63,22","-11,17%","65,19%","4,35","-1,65%","9,69%","0,00","93.104.000,00","0,05","21,48%"
BEEF3,"10,96","11,11","10,18","0,247","8,91%","0,332","1,02","3,29","-1,18","6,31","5,39","7,49%","2,22%","1,90","22,35%","91,55%","72.897.900,00","654.131.000,00","20,49","19,50%"
ELUM3,"36,00","11,12","1,50","0,940","0,00%","0,886","2,31","14,76","2,51","10,02","10,02","6,37%","8,46%","2,02","9,40%","13,47%","0,00","443.231.000,00","0,08","8,40%"
KEPL3,"56,72","11,13","3,73","1,404","18,74%","1,690","13,36","8,45","26,26","8,11","7,12","16,61%","12,61%","1,26","24,84%","33,50%","12.354.900,00","461.630.000,00","0,13","18,00%"
RIPI3,"48,01","11,23","-28,94","-7,449","0,00%","7,092","-59,55","-8,79","-16,76","-9,31","-9,31","84,70%","-66,31%","0,87","-99,10%","-257,61%","0,00","-49.103.000,00","-2,44","5,82%"
CZLT33,"29,23","11,24","1,39","0,526","0,00%","0,145","1,87","3,10","-0,29","10,26","4,03","16,97%","9,14%","1,58","5,31%","12,36%","0,00","5.691.680.000,00","3,93","7,88%"
SBSP3,"42,39","11,27","1,18","1,500","0,94%","0,546","31,37","6,42","-1,35","9,47","6,38","23,38%","13,31%","1,15","9,28%","10,49%","90.659.500,00","24.505.800.000,00","0,73","7,50%"
RIPI4,"48,50","11,35","-29,24","-7,525","0,00%","7,164","-60,16","-8,88","-16,93","-9,40","-9,40","84,70%","-66,31%","0,87","-99,10%","-257,61%","0,00","-49.103.000,00","-2,44","5,82%"
BBSE3,"22,54","11,46","6,19","0,000","6,42%","3,386","0,00","9,14","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","54,02%","133.963.000,00","7.281.420.000,00","0,00","0,00%"
EBCO4,"1,00","11,46","0,80","0,330","0,00%","0,351","50,21","8,51","-14,31","8,26","8,26","3,88%","2,90%","1,01","5,04%","7,00%","0,00","828.097.000,00","0,02","6,09%"
TEMP3,"4,15","11,64","4,92","0,980","0,00%","2,014","9,98","10,60","19,39","9,55","7,74","9,25%","8,42%","1,41","34,49%","42,27%","0,00","135.736.000,00","0,23","-13,11%"
TUPY3,"18,54","11,73","0,99","0,425","2,33%","0,413","1,16","4,78","149,51","6,54","4,01","8,89%","3,62%","2,54","12,32%","8,47%","12.402.200,00","2.690.750.000,00","0,77","11,20%"
HAGA3,"9,90","11,74","-1,78","2,612","0,00%","1,863","5,21","25,66","-1,53","25,04","18,39","10,18%","22,26%","1,76","17,79%","-15,13%","288.426,00","-66.331.300,00","-0,49","13,98%"
NAFG3,"64,37","11,80","2,76","1,102","0,00%","1,153","3,20","7,35","60,48","8,64","6,57","14,99%","9,28%","2,52","19,92%","23,42%","0,00","316.392.000,00","0,81","9,49%"
NAFG4,"64,42","11,81","2,76","1,103","0,00%","1,154","3,20","7,36","60,52","8,65","6,57","14,99%","9,28%","2,52","19,92%","23,42%","0,00","316.392.000,00","0,81","9,49%"
GRND3,"7,87","11,81","1,73","3,031","11,00%","1,559","2,65","17,47","2,73","14,72","12,07","17,35%","25,66%","8,02","12,79%","14,68%","12.589.700,00","4.094.330.000,00","0,05","-1,28%"
ENEV3,"12,79","11,82","1,89","3,472","0,00%","0,908","8,27","12,53","-2,74","16,96","11,64","27,71%","29,37%","2,39","8,56%","15,98%","85.104.400,00","8.575.330.000,00","0,90","12,99%"
FIBR3,"66,30","12,03","2,59","2,010","7,59%","0,899","9,59","5,13","-2,54","7,17","5,29","39,18%","16,75%","1,46","22,95%","21,57%","0,00","14.149.000.000,00","1,46","22,71%"
EBCO3,"1,05","12,03","0,84","0,346","0,00%","0,368","52,72","8,94","-15,02","8,68","8,68","3,88%","2,90%","1,01","5,04%","7,00%","0,00","828.097.000,00","0,02","6,09%"
EVEN3,"5,72","12,10","0,68","0,554","14,52%","0,207","0,53","3,29","0,96","1,22","1,19","16,85%","6,34%","2,00","7,86%","5,59%","12.274.900,00","1.790.560.000,00","0,20","8,02%"
MPLU3,"26,80","12,20","17,37","6,877","0,00%","2,676","50,65","10,34","66,01","7,71","7,28","66,52%","56,37%","1,06","129,57%","142,40%","0,00","250.279.000,00","0,00","-18,88%"
MDIA3,"20,28","12,21","1,00","0,935","9,60%","0,649","2,14","19,86","6,99","19,76","10,95","4,71%","7,66%","3,20","4,30%","8,17%","39.506.400,00","6.893.860.000,00","0,27","8,53%"
OFSA3,"25,85","12,24","2,17","1,541","1,83%","1,169","2,88","9,68","7,81","11,22","9,41","15,91%","12,59%","2,97","14,98%","17,77%","203.708,00","641.445.000,00","0,60","14,80%"
LOGN3,"24,48","12,35","5,92","1,947","0,00%","1,159","5,01","13,58","-3,02","17,80","10,94","14,34%","15,77%","2,23","12,01%","47,93%","14.963.500,00","437.799.000,00","3,11","14,36%"
AMPI3,"55,00","12,41","2,74","0,247","0,00%","0,177","5,68","0,98","-0,68","1,99","1,73","25,18%","15,11%","1,12","21,22%","22,09%","0,00","240.799.000,00","4,48","14,12%"
CRFB3,"19,68","12,43","2,29","0,503","4,61%","0,663","22,17","8,70","-4,03","9,15","7,19","5,78%","4,33%","1,06","12,31%","18,41%","96.527.900,00","17.079.000.000,00","0,53","12,11%"
TECN3,"2,05","12,53","0,50","0,505","3,95%","0,250","0,57","2,59","2,11","2,94","3,73","19,53%","4,03%","3,41","13,08%","3,97%","3.120.680,00","323.227.000,00","0,42","-4,23%"
TTEN3,"11,00","12,64","2,43","1,019","0,00%","1,238","3,57","16,72","4,55","15,83","14,60","6,09%","8,06%","1,83","15,65%","19,24%","6.481.970,00","2.236.240.000,00","0,36","71,55%"
TMGC7,"800,01","12,68","1,63","1,164","0,00%","1,120","6,77","17,85","11,96","16,52","16,52","6,52%","9,18%","1,69","8,73%","12,83%","0,00","1.167.010.000,00","0,05","10,49%"
BALM4,"9,85","12,79","0,81","0,674","4,16%","0,444","1,08","6,59","1,79","5,44","4,42","10,23%","4,31%","2,57","8,74%","6,31%","7.564,61","119.668.000,00","0,20","8,74%"
AVIL3,"0,93","12,97","4,16","2,338","0,00%","2,227","3,89","10,00","9,02","9,40","9,40","23,38%","18,01%","5,14","40,99%","32,03%","0,00","1.106.590.000,00","0,52","1,74%"
DXTG4,"3,68","13,02","1,32","0,675","0,00%","0,689","2,44","6,26","7,48","6,33","6,33","10,78%","6,60%","2,77","12,31%","10,10%","0,00","768.999.000,00","0,04","8,30%"
CPLE5,"27,00","13,05","3,43","3,230","5,09%","1,483","33,73","18,92","-4,65","20,36","16,07","17,07%","25,25%","1,22","9,27%","26,26%","1.545,51","21.564.100.000,00","0,49","12,70%"
CXSE3,"8,27","13,08","2,35","0,000","2,96%","2,328","28,31","-356,66","28,35","-351,45","-351,60","0,00%","0,00%","10,21","-0,68%","17,96%","22.455.700,00","10.558.800.000,00","0,00","0,00%"
LCAM3,"23,77","13,10","2,53","1,842","1,72%","0,796","25,42","7,24","-1,64","10,99","8,40","25,44%","14,06%","1,19","13,84%","19,35%","61.722.000,00","4.772.960.000,00","1,69","59,06%"
PDTC3,"5,87","13,10","3,54","1,403","0,00%","1,077","2,79","14,86","10,01","15,08","15,08","9,44%","10,71%","1,93","11,14%","27,02%","509.975,00","130.046.000,00","0,71","276,60%"
SFSA4,"4,40","13,10","0,82","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","6,25%","0,00","739.524.000,00","0,00","0,15%"
BSLI4,"22,00","13,14","3,07","0,000","5,58%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","23,36%","64.908,50","2.601.550.000,00","0,00","1,93%"
GETI3,"14,45","13,19","3,44","1,916","0,00%","1,314","-15,63","6,98","-3,19","8,20","6,76","27,43%","14,52%","0,71","22,70%","26,09%","0,00","1.601.130.000,00","0,86","13,39%"
GETI4,"14,46","13,20","3,44","1,917","0,00%","1,315","-15,64","6,99","-3,20","8,20","6,76","27,43%","14,52%","0,71","22,70%","26,09%","0,00","1.601.130.000,00","0,86","13,39%"
WLMM3,"34,00","13,25","2,33","0,715","2,02%","1,901","4,97","10,93","6,30","9,51","9,20","6,54%","5,39%","4,65","24,33%","17,62%","0,00","530.316.000,00","0,01","35,45%"
AURA33,"45,15","13,29","2,10","1,330","14,59%","0,966","4,55","3,68","-11,99","3,65","3,65","36,18%","10,01%","1,86","43,06%","15,82%","8.034.640,00","1.519.430.000,00","0,58","63,49%"
AESL3,"10.081,90","13,32","2,69","1,109","0,00%","0,733","10,28","6,81","-1,47","9,75","8,03","16,27%","8,32%","1,45","12,26%","20,17%","0,00","4.222.700.000,00","1,32","36,09%"
AESL4,"10.081,90","13,32","2,69","1,109","0,00%","0,733","10,28","6,81","-1,47","9,75","8,03","16,27%","8,32%","1,45","12,26%","20,17%","0,00","4.222.700.000,00","1,32","36,09%"
RGEG3,"3,00","13,42","1,60","0,770","0,00%","0,609","-98,28","6,23","-1,76","10,04","11,70","12,36%","5,74%","0,98","11,69%","11,90%","0,00","1.915.180.000,00","1,15","10,09%"
FLRY3,"17,85","13,56","3,13","1,500","1,28%","0,929","7,78","7,91","-2,38","10,78","7,05","18,98%","11,10%","1,62","14,80%","23,06%","38.682.100,00","1.814.990.000,00","1,67","10,94%"
SOJA3,"15,50","13,57","2,90","2,082","0,00%","1,830","3,71","12,90","4,16","12,04","11,86","16,14%","15,35%","2,57","21,82%","21,36%","5.475.880,00","626.668.000,00","0,20","0,00%"
FRAS3,"13,23","13,63","2,63","1,115","2,27%","0,934","3,66","8,89","-7,90","10,78","7,98","12,54%","8,16%","1,95","13,65%","19,28%","3.454.100,00","1.095.570.000,00","0,89","30,27%"
BRBI11,"18,37","13,91","2,51","8,512","0,00%","0,633","2,46","18,29","2,65","9,55","9,42","46,53%","61,19%","1,35","246,07%","18,07%","3.449.410,00","767.206.000,00","2,65","-81,48%"
ARCE3,"54,00","14,01","2,60","2,461","0,00%","1,726","11,33","8,89","102,03","9,07","9,07","27,70%","19,46%","1,97","22,04%","18,59%","0,00","13.495.400.000,00","0,17","48,47%"
MRSA6B,"36,00","14,23","2,47","2,816","0,88%","0,963","28,96","9,69","-2,38","11,23","6,20","29,07%","19,79%","1,19","12,32%","17,39%","87,80","4.946.430.000,00","0,81","4,07%"
MRSA5B,"36,00","14,23","2,47","2,816","0,88%","0,963","28,96","9,69","-2,38","11,23","6,20","29,07%","19,79%","1,19","12,32%","17,39%","87,80","4.946.430.000,00","0,81","4,07%"
